,optimizer,task_name,iteration,mean_rank,lb,ub,mean_proportion
0,PFN-Casmopolitan,xgboost_opt,0.0,,0.5,0.5,0.5
1,PFN-Casmopolitan,xgboost_opt,1.0,,0.26666666666666666,0.5337499999999996,0.4
2,PFN-Casmopolitan,xgboost_opt,2.0,,0.21666666666666667,0.48333333333333334,0.35
3,PFN-Casmopolitan,xgboost_opt,3.0,,0.4,0.7,0.55
4,PFN-Casmopolitan,xgboost_opt,4.0,,0.48333333333333334,0.7833333333333333,0.6333333333333333
5,PFN-Casmopolitan,xgboost_opt,5.0,,0.48333333333333334,0.8,0.65
6,PFN-Casmopolitan,xgboost_opt,6.0,,0.55,0.85,0.7
7,PFN-Casmopolitan,xgboost_opt,7.0,,0.4666666666666667,0.8,0.65
8,PFN-Casmopolitan,xgboost_opt,8.0,,0.5,0.8166666666666667,0.6666666666666666
9,PFN-Casmopolitan,xgboost_opt,9.0,,0.4666666666666667,0.8,0.6333333333333333
10,PFN-Casmopolitan,xgboost_opt,10.0,,0.43333333333333335,0.75,0.6
11,PFN-Casmopolitan,xgboost_opt,11.0,,0.43333333333333335,0.8,0.6166666666666667
12,PFN-Casmopolitan,xgboost_opt,12.0,,0.36625,0.7333333333333333,0.55
13,PFN-Casmopolitan,xgboost_opt,13.0,,0.36666666666666664,0.7,0.5333333333333333
14,PFN-Casmopolitan,xgboost_opt,14.0,,0.36666666666666664,0.7,0.5333333333333333
15,PFN-Casmopolitan,xgboost_opt,15.0,,0.35,0.6837499999999996,0.5166666666666667
16,PFN-Casmopolitan,xgboost_opt,16.0,,0.31666666666666665,0.6666666666666666,0.48333333333333334
17,PFN-Casmopolitan,xgboost_opt,17.0,,0.3,0.65,0.48333333333333334
18,PFN-Casmopolitan,xgboost_opt,18.0,,0.3,0.6337499999999996,0.4666666666666667
19,PFN-Casmopolitan,xgboost_opt,19.0,,0.34958333333333336,0.6670833333333329,0.5166666666666667
20,PFN-Casmopolitan,xgboost_opt,20.0,,0.36666666666666664,0.7,0.5333333333333333
21,PFN-Casmopolitan,xgboost_opt,21.0,,0.38333333333333336,0.7333333333333333,0.55
22,PFN-Casmopolitan,xgboost_opt,22.0,,0.36666666666666664,0.717083333333333,0.55
23,PFN-Casmopolitan,xgboost_opt,23.0,,0.36666666666666664,0.7,0.5333333333333333
24,PFN-Casmopolitan,xgboost_opt,24.0,,0.4166666666666667,0.75,0.5833333333333334
25,PFN-Casmopolitan,xgboost_opt,25.0,,0.4166666666666667,0.75,0.5833333333333334
26,PFN-Casmopolitan,xgboost_opt,26.0,,0.4166666666666667,0.75,0.5833333333333334
27,PFN-Casmopolitan,xgboost_opt,27.0,,0.4,0.7333333333333333,0.5666666666666667
28,PFN-Casmopolitan,xgboost_opt,28.0,,0.36666666666666664,0.7,0.5333333333333333
29,PFN-Casmopolitan,xgboost_opt,29.0,,0.36666666666666664,0.7,0.5333333333333333
30,PFN-Casmopolitan,xgboost_opt,30.0,,0.38333333333333336,0.7166666666666667,0.55
31,PFN-Casmopolitan,xgboost_opt,31.0,,0.3333333333333333,0.7,0.5166666666666667
32,PFN-Casmopolitan,xgboost_opt,32.0,,0.31666666666666665,0.6666666666666666,0.5
33,PFN-Casmopolitan,xgboost_opt,33.0,,0.34958333333333336,0.6833333333333333,0.5
34,PFN-Casmopolitan,xgboost_opt,34.0,,0.31666666666666665,0.6833333333333333,0.5
35,PFN-Casmopolitan,xgboost_opt,35.0,,0.2833333333333333,0.65,0.4666666666666667
36,PFN-Casmopolitan,xgboost_opt,36.0,,0.31666666666666665,0.6337499999999996,0.48333333333333334
37,PFN-Casmopolitan,xgboost_opt,37.0,,0.31666666666666665,0.6666666666666666,0.48333333333333334
38,PFN-Casmopolitan,xgboost_opt,38.0,,0.31666666666666665,0.6666666666666666,0.48333333333333334
39,PFN-Casmopolitan,xgboost_opt,39.0,,0.3,0.65,0.4666666666666667
40,PFN-Casmopolitan,xgboost_opt,40.0,,0.25,0.6166666666666667,0.43333333333333335
41,PFN-Casmopolitan,xgboost_opt,41.0,,0.25,0.5833333333333334,0.4166666666666667
42,PFN-Casmopolitan,xgboost_opt,42.0,,0.25,0.6,0.4166666666666667
43,PFN-Casmopolitan,xgboost_opt,43.0,,0.25,0.5833333333333334,0.4166666666666667
44,PFN-Casmopolitan,xgboost_opt,44.0,,0.25,0.5833333333333334,0.4166666666666667
45,PFN-Casmopolitan,xgboost_opt,45.0,,0.23333333333333334,0.5666666666666667,0.4
46,PFN-Casmopolitan,xgboost_opt,46.0,,0.23333333333333334,0.5670833333333329,0.4
47,PFN-Casmopolitan,xgboost_opt,47.0,,0.23333333333333334,0.5666666666666667,0.4
48,PFN-Casmopolitan,xgboost_opt,48.0,,0.23333333333333334,0.5666666666666667,0.4
49,PFN-Casmopolitan,xgboost_opt,49.0,,0.23333333333333334,0.5666666666666667,0.4
50,PFN-Casmopolitan,xgboost_opt,50.0,,0.25,0.5833333333333334,0.4166666666666667
51,PFN-Casmopolitan,xgboost_opt,51.0,,0.23333333333333334,0.5666666666666667,0.4
52,PFN-Casmopolitan,xgboost_opt,52.0,,0.21666666666666667,0.5666666666666667,0.4
53,PFN-Casmopolitan,xgboost_opt,53.0,,0.21666666666666667,0.5666666666666667,0.4
54,PFN-Casmopolitan,xgboost_opt,54.0,,0.23333333333333334,0.5666666666666667,0.4
55,PFN-Casmopolitan,xgboost_opt,55.0,,0.23333333333333334,0.5670833333333329,0.4
56,PFN-Casmopolitan,xgboost_opt,56.0,,0.23333333333333334,0.5670833333333329,0.4
57,PFN-Casmopolitan,xgboost_opt,57.0,,0.23333333333333334,0.5666666666666667,0.4
58,PFN-Casmopolitan,xgboost_opt,58.0,,0.23333333333333334,0.5833333333333334,0.4
