,optimizer,task,iteration,mean_rank,lb,ub
0,BODi,griewank,0.0,4.0,4.0,4.0
1,BODi,griewank,1.0,3.8666666666666667,3.2666666666666666,4.38375
2,BODi,griewank,2.0,3.3,2.66625,3.900416666666666
3,BODi,griewank,3.0,3.55,2.966666666666667,4.133333333333334
4,BODi,griewank,4.0,3.55,3.033333333333333,4.1170833333333325
5,BODi,griewank,5.0,3.683333333333333,3.0995833333333334,4.25
6,BODi,griewank,6.0,3.816666666666667,3.25,4.4
7,BODi,griewank,7.0,4.166666666666667,3.6333333333333333,4.733333333333333
8,BODi,griewank,8.0,4.216666666666667,3.6666666666666665,4.75
9,BODi,griewank,9.0,4.083333333333333,3.5166666666666666,4.666666666666667
10,BODi,griewank,10.0,3.95,3.3495833333333334,4.55
11,BODi,griewank,11.0,3.9166666666666665,3.3,4.516666666666667
12,BODi,griewank,12.0,3.8,3.216666666666667,4.35
13,BODi,griewank,13.0,3.9166666666666665,3.283333333333333,4.500416666666666
14,BODi,griewank,14.0,4.083333333333333,3.3833333333333333,4.733333333333333
15,BODi,griewank,15.0,4.016666666666667,3.3333333333333335,4.683333333333334
16,BODi,griewank,16.0,3.966666666666667,3.3,4.666666666666667
17,BODi,griewank,17.0,3.933333333333333,3.3,4.567499999999999
18,BODi,griewank,18.0,3.966666666666667,3.3,4.633333333333334
19,BODi,griewank,19.0,4.033333333333333,3.4,4.666666666666667
20,BODi,griewank,20.0,4.033333333333333,3.4,4.600833333333332
21,BODi,griewank,21.0,4.1,3.4991666666666665,4.7
22,BODi,griewank,22.0,4.133333333333334,3.5,4.8
23,BODi,griewank,23.0,4.133333333333334,3.466666666666667,4.733333333333333
24,BODi,griewank,24.0,4.233333333333333,3.6,4.833333333333333
25,BODi,griewank,25.0,4.2,3.6333333333333333,4.8
26,BODi,griewank,26.0,4.166666666666667,3.566666666666667,4.700833333333333
27,BODi,griewank,27.0,4.233333333333333,3.6666666666666665,4.767499999999999
28,BODi,griewank,28.0,4.3,3.6325,4.9
29,BODi,griewank,29.0,4.166666666666667,3.6,4.8
30,BODi,griewank,30.0,4.1,3.5,4.666666666666667
31,BODi,griewank,31.0,4.2,3.566666666666667,4.8
32,BODi,griewank,32.0,4.033333333333333,3.433333333333333,4.634166666666666
33,BODi,griewank,33.0,3.7666666666666666,3.1666666666666665,4.433333333333334
34,BODi,griewank,34.0,3.7666666666666666,3.1,4.400833333333333
35,BODi,griewank,35.0,3.8,3.1666666666666665,4.433333333333334
36,BODi,griewank,36.0,3.7,3.1333333333333333,4.366666666666666
37,BODi,griewank,37.0,3.7,3.0991666666666666,4.3
38,BODi,griewank,38.0,3.6666666666666665,3.1,4.2
39,BODi,griewank,39.0,3.6666666666666665,3.1,4.233333333333333
40,BODi,griewank,40.0,3.7333333333333334,3.1666666666666665,4.266666666666667
41,BODi,griewank,41.0,3.7666666666666666,3.2,4.333333333333333
42,BODi,griewank,42.0,3.8333333333333335,3.3666666666666667,4.366666666666666
43,BODi,griewank,43.0,3.7666666666666666,3.2333333333333334,4.233333333333333
44,BODi,griewank,44.0,3.6666666666666665,3.1666666666666665,4.2
45,BODi,griewank,45.0,3.6666666666666665,3.2,4.2
46,BODi,griewank,46.0,3.6666666666666665,3.1666666666666665,4.166666666666667
47,BODi,griewank,47.0,3.7333333333333334,3.2666666666666666,4.233333333333333
48,BODi,griewank,48.0,3.7333333333333334,3.2333333333333334,4.2
49,BODi,griewank,49.0,3.7,3.1666666666666665,4.2
50,BODi,griewank,50.0,3.7333333333333334,3.2333333333333334,4.266666666666667
51,BODi,griewank,51.0,3.7333333333333334,3.2,4.266666666666667
52,BODi,griewank,52.0,3.8,3.2,4.334166666666666
53,BODi,griewank,53.0,3.7333333333333334,3.1333333333333333,4.266666666666667
54,BODi,griewank,54.0,3.6666666666666665,3.066666666666667,4.233333333333333
55,BODi,griewank,55.0,3.566666666666667,2.966666666666667,4.2
56,BODi,griewank,56.0,3.533333333333333,2.966666666666667,4.133333333333334
57,BODi,griewank,57.0,3.566666666666667,3.033333333333333,4.2
58,BODi,griewank,58.0,3.566666666666667,2.966666666666667,4.166666666666667
59,BODi,griewank,59.0,3.566666666666667,2.966666666666667,4.166666666666667
60,BODi,griewank,60.0,3.566666666666667,2.9991666666666665,4.233333333333333
61,BODi,griewank,61.0,3.533333333333333,2.966666666666667,4.166666666666667
62,BODi,griewank,62.0,3.566666666666667,3.0,4.133333333333334
63,BODi,griewank,63.0,3.566666666666667,3.0,4.134166666666666
64,BODi,griewank,64.0,3.533333333333333,2.933333333333333,4.1
65,BODi,griewank,65.0,3.533333333333333,2.966666666666667,4.067499999999999
66,BODi,griewank,66.0,3.533333333333333,2.9658333333333333,4.133333333333334
67,BODi,griewank,67.0,3.533333333333333,3.0,4.066666666666666
68,BODi,griewank,68.0,3.566666666666667,3.0,4.133333333333334
69,BODi,griewank,69.0,3.566666666666667,3.0324999999999998,4.166666666666667
70,BODi,griewank,70.0,3.6,3.033333333333333,4.2
71,BODi,griewank,71.0,3.6,3.066666666666667,4.1
72,BODi,griewank,72.0,3.6333333333333333,3.066666666666667,4.2
73,BODi,griewank,73.0,3.6333333333333333,3.0991666666666666,4.166666666666667
74,BODi,griewank,74.0,3.7,3.1666666666666665,4.266666666666667
75,BODi,griewank,75.0,3.7333333333333334,3.2333333333333334,4.266666666666667
76,BODi,griewank,76.0,3.7,3.1333333333333333,4.266666666666667
77,BODi,griewank,77.0,3.7,3.2,4.233333333333333
78,BODi,griewank,78.0,3.7333333333333334,3.1666666666666665,4.267499999999999
79,BODi,griewank,79.0,3.7333333333333334,3.1666666666666665,4.3
80,BODi,griewank,80.0,3.7333333333333334,3.1666666666666665,4.3
81,BODi,griewank,81.0,3.7,3.1666666666666665,4.266666666666667
82,BODi,griewank,82.0,3.7333333333333334,3.165833333333333,4.3
83,BODi,griewank,83.0,3.6333333333333333,3.1,4.166666666666667
84,BODi,griewank,84.0,3.6333333333333333,3.066666666666667,4.200833333333333
85,BODi,griewank,85.0,3.6333333333333333,3.066666666666667,4.233333333333333
86,BODi,griewank,86.0,3.6666666666666665,3.1333333333333333,4.233333333333333
87,BODi,griewank,87.0,3.6666666666666665,3.1666666666666665,4.233333333333333
88,BODi,griewank,88.0,3.6666666666666665,3.1,4.2
89,BODi,griewank,89.0,3.7333333333333334,3.2,4.267499999999999
90,BODi,griewank,90.0,3.7333333333333334,3.1666666666666665,4.300833333333332
91,BODi,griewank,91.0,3.7666666666666666,3.1666666666666665,4.333333333333333
92,BODi,griewank,92.0,3.7666666666666666,3.2333333333333334,4.366666666666666
93,BODi,griewank,93.0,3.7666666666666666,3.2,4.333333333333333
94,BODi,griewank,94.0,3.8,3.2666666666666666,4.334166666666666
95,BODi,griewank,95.0,3.8333333333333335,3.2666666666666666,4.4
96,BODi,griewank,96.0,3.8666666666666667,3.3,4.433333333333334
97,BODi,griewank,97.0,3.8,3.2325,4.433333333333334
98,BODi,griewank,98.0,3.8333333333333335,3.2666666666666666,4.433333333333334
99,BODi,griewank,99.0,3.8666666666666667,3.3333333333333335,4.400833333333333
100,BODi,griewank,100.0,3.8666666666666667,3.2666666666666666,4.433333333333334
101,BODi,griewank,101.0,3.933333333333333,3.4,4.500833333333333
102,BODi,griewank,102.0,3.9,3.3,4.466666666666667
103,BODi,griewank,103.0,3.8333333333333335,3.3,4.4
104,BODi,griewank,104.0,3.8,3.2333333333333334,4.366666666666666
105,BODi,griewank,105.0,3.7333333333333334,3.2,4.300833333333332
106,BODi,griewank,106.0,3.7333333333333334,3.1666666666666665,4.333333333333333
107,BODi,griewank,107.0,3.7333333333333334,3.2,4.3
108,BODi,griewank,108.0,3.7333333333333334,3.165833333333333,4.267499999999999
109,BODi,griewank,109.0,3.7333333333333334,3.1666666666666665,4.3
110,BODi,griewank,110.0,3.7333333333333334,3.2,4.3
111,BODi,griewank,111.0,3.533333333333333,3.0,4.1
112,BODi,griewank,112.0,3.533333333333333,3.0324999999999998,4.066666666666666
113,BODi,griewank,113.0,3.533333333333333,2.966666666666667,4.067499999999999
114,BODi,griewank,114.0,3.566666666666667,3.0,4.066666666666666
115,BODi,griewank,115.0,3.433333333333333,2.8666666666666667,4.0
116,BODi,griewank,116.0,3.4,2.8325,3.966666666666667
117,BODi,griewank,117.0,3.4,2.8333333333333335,3.966666666666667
118,BODi,griewank,118.0,3.4,2.8333333333333335,4.0
119,BODi,griewank,119.0,3.4,2.8333333333333335,4.000833333333333
120,BODi,griewank,120.0,3.433333333333333,2.8666666666666667,4.000833333333333
121,BODi,griewank,121.0,3.433333333333333,2.8666666666666667,4.034166666666666
122,BODi,griewank,122.0,3.433333333333333,2.9,4.0
123,BODi,griewank,123.0,3.433333333333333,2.8333333333333335,4.0
124,BODi,griewank,124.0,3.4,2.8333333333333335,3.933333333333333
125,BODi,griewank,125.0,3.4,2.8666666666666667,3.966666666666667
126,BODi,griewank,126.0,3.4,2.8,3.933333333333333
127,BODi,griewank,127.0,3.4,2.8333333333333335,3.933333333333333
128,BODi,griewank,128.0,3.4,2.8333333333333335,3.9
129,BODi,griewank,129.0,3.4,2.8666666666666667,3.966666666666667
130,BODi,griewank,130.0,3.3666666666666667,2.8325,3.9341666666666657
131,BODi,griewank,131.0,3.4,2.8666666666666667,4.0
132,BODi,griewank,132.0,3.466666666666667,2.966666666666667,4.0
133,BODi,griewank,133.0,3.466666666666667,2.966666666666667,4.0
134,BODi,griewank,134.0,3.466666666666667,2.9324999999999997,4.033333333333333
135,BODi,griewank,135.0,3.466666666666667,2.9658333333333333,4.0
136,BODi,griewank,136.0,3.466666666666667,2.933333333333333,4.066666666666666
137,BODi,griewank,137.0,3.466666666666667,2.9,4.033333333333333
138,BODi,griewank,138.0,3.5,2.966666666666667,4.033333333333333
139,BODi,griewank,139.0,3.566666666666667,3.033333333333333,4.133333333333334
140,BODi,griewank,140.0,3.566666666666667,3.0,4.166666666666667
141,BODi,griewank,141.0,3.566666666666667,2.9991666666666665,4.166666666666667
142,BODi,griewank,142.0,3.6,3.0,4.166666666666667
143,BODi,griewank,143.0,3.6,3.0658333333333334,4.133333333333334
144,BODi,griewank,144.0,3.6,3.066666666666667,4.133333333333334
145,BODi,griewank,145.0,3.566666666666667,3.033333333333333,4.133333333333334
146,BODi,griewank,146.0,3.6,3.066666666666667,4.100833333333332
147,BODi,griewank,147.0,3.6666666666666665,3.1,4.266666666666667
148,BODi,griewank,148.0,3.6666666666666665,3.066666666666667,4.266666666666667
149,BODi,griewank,149.0,3.7,3.1333333333333333,4.266666666666667
150,BODi,griewank,150.0,3.7333333333333334,3.1666666666666665,4.333333333333333
151,BODi,griewank,151.0,3.7333333333333334,3.1333333333333333,4.333333333333333
152,BODi,griewank,152.0,3.7333333333333334,3.1666666666666665,4.267499999999999
153,BODi,griewank,153.0,3.7333333333333334,3.1333333333333333,4.3
154,BODi,griewank,154.0,3.8,3.2666666666666666,4.333333333333333
155,BODi,griewank,155.0,3.8,3.3,4.333333333333333
156,BODi,griewank,156.0,3.8,3.3,4.366666666666666
157,BODi,griewank,157.0,3.8,3.2325,4.366666666666666
158,BODi,griewank,158.0,3.8,3.2333333333333334,4.366666666666666
159,BODi,griewank,159.0,3.8,3.2666666666666666,4.366666666666666
160,BODi,griewank,160.0,3.8,3.2666666666666666,4.3
161,BODi,griewank,161.0,3.8,3.265833333333333,4.333333333333333
162,BODi,griewank,162.0,3.8666666666666667,3.3333333333333335,4.367499999999999
163,BODi,griewank,163.0,3.8666666666666667,3.3666666666666667,4.433333333333334
164,BODi,griewank,164.0,3.8666666666666667,3.3333333333333335,4.4
165,BODi,griewank,165.0,3.8666666666666667,3.3333333333333335,4.4
166,BODi,griewank,166.0,3.8666666666666667,3.3333333333333335,4.4
167,BODi,griewank,167.0,3.8666666666666667,3.3333333333333335,4.366666666666666
168,BODi,griewank,168.0,3.8666666666666667,3.3333333333333335,4.4
169,BODi,griewank,169.0,3.8666666666666667,3.3333333333333335,4.366666666666666
170,BODi,griewank,170.0,3.8666666666666667,3.3333333333333335,4.366666666666666
171,BODi,griewank,171.0,3.8666666666666667,3.3666666666666667,4.366666666666666
172,BODi,griewank,172.0,3.8666666666666667,3.3666666666666667,4.366666666666666
173,BODi,griewank,173.0,3.8666666666666667,3.3666666666666667,4.400833333333333
174,BODi,griewank,174.0,3.8666666666666667,3.3333333333333335,4.366666666666666
175,BODi,griewank,175.0,3.8666666666666667,3.3666666666666667,4.4
176,BODi,griewank,176.0,3.8666666666666667,3.3666666666666667,4.433333333333334
177,BODi,griewank,177.0,3.8333333333333335,3.3333333333333335,4.333333333333333
178,BODi,griewank,178.0,3.8333333333333335,3.3,4.366666666666666
179,BODi,griewank,179.0,3.8333333333333335,3.3,4.4
180,BODi,griewank,180.0,3.8333333333333335,3.3333333333333335,4.366666666666666
181,BODi,griewank,181.0,3.8333333333333335,3.3,4.367499999999999
182,BODi,griewank,182.0,3.8666666666666667,3.3333333333333335,4.400833333333333
183,BODi,griewank,183.0,3.8666666666666667,3.3333333333333335,4.366666666666666
184,BODi,griewank,184.0,3.8666666666666667,3.3333333333333335,4.4
185,BODi,griewank,185.0,3.8666666666666667,3.3,4.366666666666666
186,BODi,griewank,186.0,3.8666666666666667,3.3333333333333335,4.366666666666666
187,BODi,griewank,187.0,3.8666666666666667,3.3333333333333335,4.366666666666666
188,BODi,griewank,188.0,3.8666666666666667,3.3666666666666667,4.4
189,BODi,griewank,189.0,3.9,3.4324999999999997,4.466666666666667
190,BODi,griewank,190.0,3.9,3.4,4.466666666666667
191,BODi,griewank,191.0,3.9,3.3666666666666667,4.466666666666667
192,BODi,griewank,192.0,3.9,3.4,4.434166666666666
193,BODi,griewank,193.0,3.933333333333333,3.433333333333333,4.466666666666667
194,BODi,griewank,194.0,3.966666666666667,3.466666666666667,4.467499999999999
195,BODi,griewank,195.0,3.966666666666667,3.466666666666667,4.466666666666667
196,BODi,griewank,196.0,3.966666666666667,3.4658333333333333,4.500833333333333
197,BODi,griewank,197.0,3.9,3.3658333333333332,4.466666666666667
198,BODi,griewank,198.0,3.8666666666666667,3.3333333333333335,4.4
199,BODi,griewank,199.0,3.8666666666666667,3.2666666666666666,4.433333333333334
200,BODi,griewank,200.0,3.8666666666666667,3.3333333333333335,4.433333333333334
0,Casmopolitan,griewank,0.0,4.0,4.0,4.0
1,Casmopolitan,griewank,1.0,3.8,3.2495833333333333,4.283333333333333
2,Casmopolitan,griewank,2.0,3.7333333333333334,3.16625,4.283333333333333
3,Casmopolitan,griewank,3.0,3.3666666666666667,2.7333333333333334,4.0
4,Casmopolitan,griewank,4.0,3.3333333333333335,2.6995833333333334,3.9837499999999997
5,Casmopolitan,griewank,5.0,3.5833333333333335,2.8333333333333335,4.283333333333333
6,Casmopolitan,griewank,6.0,3.466666666666667,2.8333333333333335,4.083333333333333
7,Casmopolitan,griewank,7.0,3.2666666666666666,2.6,3.933333333333333
8,Casmopolitan,griewank,8.0,3.0833333333333335,2.4166666666666665,3.7
9,Casmopolitan,griewank,9.0,2.7666666666666666,2.21625,3.35
10,Casmopolitan,griewank,10.0,2.966666666666667,2.4166666666666665,3.5337499999999995
11,Casmopolitan,griewank,11.0,3.0166666666666666,2.4995833333333333,3.55
12,Casmopolitan,griewank,12.0,3.066666666666667,2.566666666666667,3.65
13,Casmopolitan,griewank,13.0,3.3,2.7,3.9166666666666665
14,Casmopolitan,griewank,14.0,3.3333333333333335,2.7666666666666666,3.9337499999999994
15,Casmopolitan,griewank,15.0,3.433333333333333,2.9166666666666665,4.0
16,Casmopolitan,griewank,16.0,3.5166666666666666,2.966666666666667,4.1
17,Casmopolitan,griewank,17.0,3.5833333333333335,3.0329166666666665,4.13375
18,Casmopolitan,griewank,18.0,3.45,2.933333333333333,4.083333333333333
19,Casmopolitan,griewank,19.0,3.2333333333333334,2.7,3.8504166666666664
20,Casmopolitan,griewank,20.0,3.1666666666666665,2.65,3.716666666666667
21,Casmopolitan,griewank,21.0,3.0833333333333335,2.549583333333333,3.6333333333333333
22,Casmopolitan,griewank,22.0,3.15,2.6,3.716666666666667
23,Casmopolitan,griewank,23.0,3.15,2.6329166666666666,3.65
24,Casmopolitan,griewank,24.0,3.216666666666667,2.7333333333333334,3.75
25,Casmopolitan,griewank,25.0,3.1166666666666667,2.533333333333333,3.683333333333333
26,Casmopolitan,griewank,26.0,3.183333333333333,2.649583333333333,3.7333333333333334
27,Casmopolitan,griewank,27.0,3.0833333333333335,2.5166666666666666,3.6004166666666664
28,Casmopolitan,griewank,28.0,3.05,2.4995833333333333,3.6337499999999996
29,Casmopolitan,griewank,29.0,3.216666666666667,2.5833333333333335,3.8333333333333335
30,Casmopolitan,griewank,30.0,3.216666666666667,2.6,3.8837499999999996
31,Casmopolitan,griewank,31.0,3.0166666666666666,2.433333333333333,3.5833333333333335
32,Casmopolitan,griewank,32.0,3.05,2.5,3.567083333333333
33,Casmopolitan,griewank,33.0,3.15,2.5829166666666667,3.767083333333333
34,Casmopolitan,griewank,34.0,3.216666666666667,2.6333333333333333,3.783333333333333
35,Casmopolitan,griewank,35.0,3.183333333333333,2.6333333333333333,3.783333333333333
36,Casmopolitan,griewank,36.0,3.183333333333333,2.6166666666666667,3.75
37,Casmopolitan,griewank,37.0,3.1166666666666667,2.533333333333333,3.783333333333333
38,Casmopolitan,griewank,38.0,3.15,2.55,3.8
39,Casmopolitan,griewank,39.0,3.1,2.533333333333333,3.7
40,Casmopolitan,griewank,40.0,3.1,2.5324999999999998,3.7333333333333334
41,Casmopolitan,griewank,41.0,2.966666666666667,2.4,3.634166666666666
42,Casmopolitan,griewank,42.0,2.933333333333333,2.3991666666666664,3.5
43,Casmopolitan,griewank,43.0,2.9,2.3333333333333335,3.466666666666667
44,Casmopolitan,griewank,44.0,2.933333333333333,2.3666666666666667,3.533333333333333
45,Casmopolitan,griewank,45.0,2.933333333333333,2.3333333333333335,3.566666666666667
46,Casmopolitan,griewank,46.0,2.933333333333333,2.3666666666666667,3.533333333333333
47,Casmopolitan,griewank,47.0,2.8333333333333335,2.265833333333333,3.466666666666667
48,Casmopolitan,griewank,48.0,2.8666666666666667,2.3333333333333335,3.466666666666667
49,Casmopolitan,griewank,49.0,2.9,2.2991666666666664,3.5
50,Casmopolitan,griewank,50.0,2.933333333333333,2.3333333333333335,3.6008333333333327
51,Casmopolitan,griewank,51.0,2.933333333333333,2.3658333333333332,3.566666666666667
52,Casmopolitan,griewank,52.0,2.8333333333333335,2.2333333333333334,3.5
53,Casmopolitan,griewank,53.0,2.933333333333333,2.3333333333333335,3.566666666666667
54,Casmopolitan,griewank,54.0,2.966666666666667,2.4,3.566666666666667
55,Casmopolitan,griewank,55.0,3.0,2.3666666666666667,3.6333333333333333
56,Casmopolitan,griewank,56.0,3.033333333333333,2.433333333333333,3.6333333333333333
57,Casmopolitan,griewank,57.0,2.966666666666667,2.3666666666666667,3.5674999999999994
58,Casmopolitan,griewank,58.0,3.0,2.4324999999999997,3.634166666666666
59,Casmopolitan,griewank,59.0,3.033333333333333,2.4991666666666665,3.6666666666666665
60,Casmopolitan,griewank,60.0,3.033333333333333,2.4,3.6666666666666665
61,Casmopolitan,griewank,61.0,3.033333333333333,2.433333333333333,3.6333333333333333
62,Casmopolitan,griewank,62.0,3.033333333333333,2.466666666666667,3.6666666666666665
63,Casmopolitan,griewank,63.0,3.033333333333333,2.466666666666667,3.6333333333333333
64,Casmopolitan,griewank,64.0,3.066666666666667,2.4991666666666665,3.6333333333333333
65,Casmopolitan,griewank,65.0,3.066666666666667,2.466666666666667,3.6666666666666665
66,Casmopolitan,griewank,66.0,3.0,2.433333333333333,3.6333333333333333
67,Casmopolitan,griewank,67.0,2.933333333333333,2.3333333333333335,3.566666666666667
68,Casmopolitan,griewank,68.0,2.933333333333333,2.3666666666666667,3.533333333333333
69,Casmopolitan,griewank,69.0,2.966666666666667,2.3666666666666667,3.6
70,Casmopolitan,griewank,70.0,2.966666666666667,2.3658333333333332,3.566666666666667
71,Casmopolitan,griewank,71.0,3.0,2.4,3.6
72,Casmopolitan,griewank,72.0,2.8666666666666667,2.3,3.5
73,Casmopolitan,griewank,73.0,2.8666666666666667,2.2666666666666666,3.5
74,Casmopolitan,griewank,74.0,2.7666666666666666,2.1991666666666667,3.4
75,Casmopolitan,griewank,75.0,2.7666666666666666,2.1991666666666667,3.4
76,Casmopolitan,griewank,76.0,2.6,2.033333333333333,3.2333333333333334
77,Casmopolitan,griewank,77.0,2.6,1.9991666666666668,3.2333333333333334
78,Casmopolitan,griewank,78.0,2.6,2.0324999999999998,3.2666666666666666
79,Casmopolitan,griewank,79.0,2.6333333333333333,2.033333333333333,3.2666666666666666
80,Casmopolitan,griewank,80.0,2.6333333333333333,2.033333333333333,3.267499999999999
81,Casmopolitan,griewank,81.0,2.6333333333333333,2.033333333333333,3.2666666666666666
82,Casmopolitan,griewank,82.0,2.6666666666666665,2.066666666666667,3.3333333333333335
83,Casmopolitan,griewank,83.0,2.6666666666666665,2.066666666666667,3.3666666666666667
84,Casmopolitan,griewank,84.0,2.6666666666666665,2.0658333333333334,3.3
85,Casmopolitan,griewank,85.0,2.7,2.066666666666667,3.3666666666666667
86,Casmopolitan,griewank,86.0,2.7,2.1,3.3333333333333335
87,Casmopolitan,griewank,87.0,2.7333333333333334,2.2,3.433333333333333
88,Casmopolitan,griewank,88.0,2.7333333333333334,2.066666666666667,3.4
89,Casmopolitan,griewank,89.0,2.7666666666666666,2.1333333333333333,3.4
90,Casmopolitan,griewank,90.0,2.7,2.1333333333333333,3.3
91,Casmopolitan,griewank,91.0,2.7,2.066666666666667,3.3333333333333335
92,Casmopolitan,griewank,92.0,2.7,2.0991666666666666,3.3333333333333335
93,Casmopolitan,griewank,93.0,2.7333333333333334,2.1666666666666665,3.4
94,Casmopolitan,griewank,94.0,2.7,2.1333333333333333,3.3
95,Casmopolitan,griewank,95.0,2.6333333333333333,2.066666666666667,3.2333333333333334
96,Casmopolitan,griewank,96.0,2.6333333333333333,2.0658333333333334,3.2666666666666666
97,Casmopolitan,griewank,97.0,2.6666666666666665,2.066666666666667,3.267499999999999
98,Casmopolitan,griewank,98.0,2.6333333333333333,2.033333333333333,3.3
99,Casmopolitan,griewank,99.0,2.6666666666666665,2.033333333333333,3.2666666666666666
100,Casmopolitan,griewank,100.0,2.6666666666666665,2.066666666666667,3.3008333333333324
101,Casmopolitan,griewank,101.0,2.7333333333333334,2.1333333333333333,3.3333333333333335
102,Casmopolitan,griewank,102.0,2.7333333333333334,2.1,3.3666666666666667
103,Casmopolitan,griewank,103.0,2.7666666666666666,2.2,3.4
104,Casmopolitan,griewank,104.0,2.7666666666666666,2.1666666666666665,3.433333333333333
105,Casmopolitan,griewank,105.0,2.8,2.2333333333333334,3.433333333333333
106,Casmopolitan,griewank,106.0,2.8333333333333335,2.2333333333333334,3.466666666666667
107,Casmopolitan,griewank,107.0,2.8333333333333335,2.2666666666666666,3.4008333333333325
108,Casmopolitan,griewank,108.0,2.8333333333333335,2.2333333333333334,3.466666666666667
109,Casmopolitan,griewank,109.0,2.9,2.2333333333333334,3.566666666666667
110,Casmopolitan,griewank,110.0,2.9,2.3333333333333335,3.566666666666667
111,Casmopolitan,griewank,111.0,2.9,2.3,3.566666666666667
112,Casmopolitan,griewank,112.0,2.8666666666666667,2.2,3.5
113,Casmopolitan,griewank,113.0,2.8666666666666667,2.2333333333333334,3.533333333333333
114,Casmopolitan,griewank,114.0,2.8666666666666667,2.2333333333333334,3.5
115,Casmopolitan,griewank,115.0,2.9,2.3,3.533333333333333
116,Casmopolitan,griewank,116.0,2.8666666666666667,2.2333333333333334,3.533333333333333
117,Casmopolitan,griewank,117.0,2.8666666666666667,2.265833333333333,3.534166666666666
118,Casmopolitan,griewank,118.0,2.8666666666666667,2.2333333333333334,3.533333333333333
119,Casmopolitan,griewank,119.0,2.8666666666666667,2.2333333333333334,3.534166666666666
120,Casmopolitan,griewank,120.0,2.7666666666666666,2.1333333333333333,3.4
121,Casmopolitan,griewank,121.0,2.7666666666666666,2.1666666666666665,3.4
122,Casmopolitan,griewank,122.0,2.7666666666666666,2.1325,3.466666666666667
123,Casmopolitan,griewank,123.0,2.7666666666666666,2.1666666666666665,3.466666666666667
124,Casmopolitan,griewank,124.0,2.7666666666666666,2.1333333333333333,3.4674999999999994
125,Casmopolitan,griewank,125.0,2.7666666666666666,2.1,3.433333333333333
126,Casmopolitan,griewank,126.0,2.7666666666666666,2.1666666666666665,3.466666666666667
