,optimizer,task,iteration,mean_rank,lb,ub
0,random,xgboost_opt,0.0,4.766666666666667,4.0,5.466666666666667
1,random,xgboost_opt,1.0,4.55,3.8333333333333335,5.250416666666666
2,random,xgboost_opt,2.0,4.683333333333334,3.95,5.366666666666666
3,random,xgboost_opt,3.0,4.733333333333333,4.032916666666667,5.383333333333334
4,random,xgboost_opt,4.0,4.883333333333334,4.15,5.55
5,random,xgboost_opt,5.0,4.933333333333334,4.31625,5.6
6,random,xgboost_opt,6.0,5.05,4.4,5.717083333333333
7,random,xgboost_opt,7.0,5.116666666666666,4.45,5.717083333333333
8,random,xgboost_opt,8.0,5.35,4.682916666666667,5.933333333333334
9,random,xgboost_opt,9.0,5.366666666666666,4.75,5.98375
10,random,xgboost_opt,10.0,5.5,4.883333333333334,6.083333333333333
11,random,xgboost_opt,11.0,5.55,4.966666666666667,6.066666666666666
12,random,xgboost_opt,12.0,5.566666666666666,5.033333333333333,6.1
13,random,xgboost_opt,13.0,5.583333333333333,5.033333333333333,6.133333333333334
14,random,xgboost_opt,14.0,5.7,5.2,6.183333333333334
15,random,xgboost_opt,15.0,5.683333333333334,5.1329166666666675,6.216666666666667
16,random,xgboost_opt,16.0,5.716666666666667,5.2162500000000005,6.183333333333334
17,random,xgboost_opt,17.0,5.8,5.3,6.3
18,random,xgboost_opt,18.0,5.8,5.333333333333333,6.266666666666667
19,random,xgboost_opt,19.0,5.733333333333333,5.2,6.216666666666667
20,random,xgboost_opt,20.0,5.816666666666666,5.266666666666667,6.3
21,random,xgboost_opt,21.0,5.783333333333333,5.249583333333334,6.233333333333333
22,random,xgboost_opt,22.0,5.833333333333333,5.31625,6.316666666666666
23,random,xgboost_opt,23.0,5.85,5.316666666666666,6.2837499999999995
24,random,xgboost_opt,24.0,5.933333333333334,5.416250000000001,6.366666666666666
25,random,xgboost_opt,25.0,5.983333333333333,5.482916666666667,6.433333333333334
26,random,xgboost_opt,26.0,5.9,5.366666666666666,6.366666666666666
27,random,xgboost_opt,27.0,5.933333333333334,5.416666666666667,6.4
28,random,xgboost_opt,28.0,5.966666666666667,5.433333333333334,6.417083333333333
29,random,xgboost_opt,29.0,5.95,5.416666666666667,6.38375
30,random,xgboost_opt,30.0,5.966666666666667,5.433333333333334,6.416666666666667
31,random,xgboost_opt,31.0,5.95,5.4,6.4
32,random,xgboost_opt,32.0,5.966666666666667,5.482916666666667,6.3670833333333325
33,random,xgboost_opt,33.0,5.966666666666667,5.5,6.366666666666666
34,random,xgboost_opt,34.0,6.016666666666667,5.56625,6.45
35,random,xgboost_opt,35.0,6.066666666666666,5.5495833333333335,6.466666666666667
36,random,xgboost_opt,36.0,6.066666666666666,5.583333333333333,6.467083333333333
37,random,xgboost_opt,37.0,6.0,5.5,6.4
38,random,xgboost_opt,38.0,6.033333333333333,5.499583333333334,6.433333333333334
39,random,xgboost_opt,39.0,6.066666666666666,5.566666666666666,6.4504166666666665
40,random,xgboost_opt,40.0,6.1,5.65,6.466666666666667
41,random,xgboost_opt,41.0,6.133333333333334,5.666666666666667,6.5
42,random,xgboost_opt,42.0,6.15,5.716666666666667,6.533333333333333
43,random,xgboost_opt,43.0,6.166666666666667,5.7162500000000005,6.567083333333333
