,optimizer,task,iteration,mean_rank,lb,ub,best_y
0,Random Baseline,xgboost_opt,0,,0.05524537037037034,0.06710030864197529,0.06129629629629628
1,Random Baseline,xgboost_opt,1,,0.05450462962962961,0.065679012345679,0.059938271604938254
2,Random Baseline,xgboost_opt,2,,0.054010802469135775,0.06531172839506172,0.05969135802469134
3,Random Baseline,xgboost_opt,3,,0.05376234567901231,0.06487654320987651,0.05950617283950615
4,Random Baseline,xgboost_opt,4,,0.052160493827160474,0.0633966049382716,0.05790123456790121
5,Random Baseline,xgboost_opt,5,,0.049070987654320955,0.0596296296296296,0.054506172839506144
6,Random Baseline,xgboost_opt,6,,0.04777777777777776,0.058765432098765405,0.05327160493827158
7,Random Baseline,xgboost_opt,7,,0.04802469135802467,0.05864197530864195,0.05327160493827158
8,Random Baseline,xgboost_opt,8,,0.047283950617283924,0.0580864197530864,0.052654320987654296
9,Random Baseline,xgboost_opt,9,,0.04703703703703701,0.05734567901234564,0.05209876543209873
10,Random Baseline,xgboost_opt,10,,0.04573919753086417,0.055867283950617255,0.05061728395061725
11,Random Baseline,xgboost_opt,11,,0.04505864197530861,0.05376543209876541,0.04950617283950614
12,Random Baseline,xgboost_opt,12,,0.04259104938271601,0.05148302469135797,0.047037037037036995
13,Random Baseline,xgboost_opt,13,,0.04253086419753083,0.051421296296296264,0.04691358024691354
14,Random Baseline,xgboost_opt,14,,0.04209567901234563,0.05086419753086416,0.0461728395061728
15,Random Baseline,xgboost_opt,15,,0.04135648148148143,0.050310185185185145,0.04567901234567897
16,Random Baseline,xgboost_opt,16,,0.041481481481481446,0.05024691358024687,0.04567901234567897
17,Random Baseline,xgboost_opt,17,,0.040925925925925886,0.04969290123456785,0.04512345679012341
18,Random Baseline,xgboost_opt,18,,0.03993827160493823,0.048643518518518475,0.04419753086419749
19,Random Baseline,xgboost_opt,19,,0.04018518518518514,0.04852006172839502,0.04419753086419749
20,Random Baseline,xgboost_opt,20,,0.04012191358024687,0.04888888888888885,0.04419753086419749
21,Random Baseline,xgboost_opt,21,,0.039564814814814775,0.04728549382716044,0.04345679012345675
22,Random Baseline,xgboost_opt,22,,0.038827160493827124,0.04617438271604934,0.04253086419753083
23,Random Baseline,xgboost_opt,23,,0.0383333333333333,0.045371913580246885,0.04166666666666663
24,Random Baseline,xgboost_opt,24,,0.03845679012345675,0.04512345679012342,0.04166666666666663
25,Random Baseline,xgboost_opt,25,,0.038331790123456735,0.04512345679012342,0.04166666666666663
26,Random Baseline,xgboost_opt,26,,0.03827006172839501,0.0448796296296296,0.04166666666666663
27,Random Baseline,xgboost_opt,27,,0.03839506172839503,0.045370370370370325,0.04166666666666663
28,Random Baseline,xgboost_opt,28,,0.037962962962962914,0.043952160493827115,0.04098765432098761
29,Random Baseline,xgboost_opt,29,,0.03808641975308639,0.0441373456790123,0.04098765432098761
30,Random Baseline,xgboost_opt,30,,0.03808641975308638,0.04395216049382712,0.04098765432098761
31,Random Baseline,xgboost_opt,31,,0.03802314814814811,0.04401234567901231,0.04098765432098761
32,Random Baseline,xgboost_opt,32,,0.03777777777777775,0.04413580246913576,0.04098765432098761
33,Random Baseline,xgboost_opt,33,,0.03777777777777775,0.04389043209876539,0.040864197530864156
34,Random Baseline,xgboost_opt,34,,0.0379012345679012,0.04333333333333329,0.04055555555555552
35,Random Baseline,xgboost_opt,35,,0.037898148148148084,0.0433333333333333,0.04049382716049378
36,Random Baseline,xgboost_opt,36,,0.03734413580246909,0.0424089506172839,0.03993827160493823
37,Random Baseline,xgboost_opt,37,,0.037222222222222184,0.04246913580246909,0.03993827160493823
38,Random Baseline,xgboost_opt,38,,0.03722222222222219,0.04259259259259255,0.03993827160493823
39,Random Baseline,xgboost_opt,39,,0.037037037037037,0.04228549382716044,0.03969135802469131
40,Random Baseline,xgboost_opt,40,,0.03666666666666662,0.04166820987654317,0.03907407407407403
41,Random Baseline,xgboost_opt,41,,0.036172839506172796,0.040802469135802426,0.03845679012345674
