,optimizer,iteration,mean_time,lb,ub
110,pfn_bodi_24,110.0,2.703161859512329,2.411653882265091,3.030858910083771
210,pfn_bodi_24,210.0,2.981260371208191,2.6160407388210296,3.3820552003383635
310,pfn_bodi_24,310.0,2.9455140590667725,2.6551301026344296,3.2469310015439987
410,pfn_bodi_24,410.0,3.0740055561065676,2.734841718673706,3.4114302778244014
510,pfn_bodi_24,510.0,3.3886011123657225,3.1168658822774886,3.6463809251785277
610,pfn_bodi_24,610.0,3.6478612184524537,3.4036971384286883,3.907381847500801
710,pfn_bodi_24,710.0,4.1926270723342896,3.9503490793704983,4.447585697174072
810,pfn_bodi_24,810.0,4.522042846679687,4.225181300044059,4.864861267805099
910,pfn_bodi_24,910.0,4.699169993400574,4.462004247903824,4.946327959895134
1010,pfn_bodi_24,1010.0,5.143600344657898,4.913153595924378,5.374712886214256
1110,pfn_bodi_24,1110.0,5.973675465583801,5.632687912583351,6.344050747156143
1210,pfn_bodi_24,1210.0,6.253994250297547,6.0766834604740145,6.462066901922226
1310,pfn_bodi_24,1310.0,6.6298868417739865,6.407322914600372,6.872497381567955
1410,pfn_bodi_24,1410.0,7.084650754928589,6.908403943777084,7.3043063372373584
1510,pfn_bodi_24,1510.0,7.621601462364197,7.267541677355767,7.998171597123147
1610,pfn_bodi_24,1610.0,7.979490256309509,7.376336902976036,8.454513617157936
1710,pfn_bodi_24,1710.0,8.053893613815308,7.286651819348336,8.776233664751052
1810,pfn_bodi_24,1810.0,7.943998384475708,7.317514702677727,8.680864793062211
1910,pfn_bodi_24,1910.0,7.888514494895935,7.353463374376297,8.496775968074799
2010,pfn_bodi_24,2010.0,8.157931590080262,7.381280627250672,8.963494470119477
2110,pfn_bodi_24,2110.0,7.869664144515991,7.044855762124062,8.54029002904892
2210,pfn_bodi_24,2210.0,8.772321844100953,7.966268776059151,9.501587837338448
2310,pfn_bodi_24,2310.0,8.667804765701295,7.491423034071922,9.843177438974381
2410,pfn_bodi_24,2410.0,9.100870585441589,7.931041242480278,10.339503877162933
2510,pfn_bodi_24,2510.0,9.228244996070861,8.131635009050369,10.325832558870315
2610,pfn_bodi_24,2610.0,8.843019318580627,7.56356929898262,10.036902090907097
