,optimizer,task,iteration,difference,lb,ub
0,PFN-CoCaBO,xgboost_opt,0,0.0,0.0,0.0
1,PFN-CoCaBO,xgboost_opt,1,0.004506172839506177,-0.00024999999999999795,0.00925925925925926
2,PFN-CoCaBO,xgboost_opt,2,0.004259259259259278,-0.0007422839506172748,0.00956944444444446
3,PFN-CoCaBO,xgboost_opt,3,0.0022222222222222404,-0.002779320987654318,0.007408950617283982
4,PFN-CoCaBO,xgboost_opt,4,0.001111111111111124,-0.004445987654320984,0.006976851851851864
5,PFN-CoCaBO,xgboost_opt,5,0.0011111111111111146,-0.004075617283950632,0.007222222222222231
6,PFN-CoCaBO,xgboost_opt,6,0.003580246913580257,-0.0007438271604938133,0.008273148148148168
7,PFN-CoCaBO,xgboost_opt,7,0.002962962962962971,-0.000989197530864193,0.007777777777777789
8,PFN-CoCaBO,xgboost_opt,8,0.004012345679012351,-6.327160493828872e-05,0.008766975308641992
9,PFN-CoCaBO,xgboost_opt,9,0.004320987654320991,0.00012191358024690437,0.009197530864197537
10,PFN-CoCaBO,xgboost_opt,10,0.0038888888888888935,-0.0006172839506172701,0.008950617283950617
11,PFN-CoCaBO,xgboost_opt,11,0.004012345679012348,-0.00037037037037036965,0.008518518518518526
12,PFN-CoCaBO,xgboost_opt,12,0.00450617283950618,0.0005540123456790142,0.009754629629629639
13,PFN-CoCaBO,xgboost_opt,13,0.004876543209876552,0.0007407407407407438,0.009694444444444448
14,PFN-CoCaBO,xgboost_opt,14,0.005061728395061734,0.0006157407407407338,0.010000000000000014
15,PFN-CoCaBO,xgboost_opt,15,0.005308641975308654,0.0010462962962963008,0.010371913580246927
16,PFN-CoCaBO,xgboost_opt,16,0.00524691358024693,0.0009876543209876697,0.010493827160493846
17,PFN-CoCaBO,xgboost_opt,17,0.006049382716049401,0.0017283950617284203,0.011052469135802493
18,PFN-CoCaBO,xgboost_opt,18,0.00586419753086422,0.0017885802469135978,0.010740740740740766
19,PFN-CoCaBO,xgboost_opt,19,0.00567901234567903,0.0016651234567901317,0.010433641975308652
20,PFN-CoCaBO,xgboost_opt,20,0.0053703703703703864,0.0014182098765432231,0.010063271604938284
21,PFN-CoCaBO,xgboost_opt,21,0.005246913580246929,0.0013580246913580403,0.009754629629629646
22,PFN-CoCaBO,xgboost_opt,22,0.005185185185185199,0.0016651234567901367,0.009199074074074085
23,PFN-CoCaBO,xgboost_opt,23,0.004876543209876556,0.0011728395061728685,0.00938271604938273
24,PFN-CoCaBO,xgboost_opt,24,0.004938271604938283,0.0014197530864197595,0.009692901234567914
25,PFN-CoCaBO,xgboost_opt,25,0.004382716049382726,0.0014197530864197725,0.008086419753086424
26,PFN-CoCaBO,xgboost_opt,26,0.0045061728395061834,0.001604938271604956,0.008456790123456799
27,PFN-CoCaBO,xgboost_opt,27,0.004444444444444457,0.0015432098765432297,0.008024691358024697
28,PFN-CoCaBO,xgboost_opt,28,0.004629629629629639,0.0016666666666666754,0.008209876543209883
29,PFN-CoCaBO,xgboost_opt,29,0.004506172839506179,0.0016666666666666759,0.008024691358024697
30,PFN-CoCaBO,xgboost_opt,30,0.004876543209876553,0.0021589506172839568,0.008209876543209876
31,PFN-CoCaBO,xgboost_opt,31,0.0045061728395061834,0.0020339506172839515,0.007469135802469136
32,PFN-CoCaBO,xgboost_opt,32,0.0045679012345679094,0.0019135802469135898,0.007592592592592593
33,PFN-CoCaBO,xgboost_opt,33,0.004629629629629639,0.0019753086419753265,0.007716049382716059
34,PFN-CoCaBO,xgboost_opt,34,0.004320987654320996,0.0017901234567901296,0.007407407407407415
35,PFN-CoCaBO,xgboost_opt,35,0.003703703703703713,0.001543209876543223,0.006172839506172843
36,PFN-CoCaBO,xgboost_opt,36,0.003703703703703713,0.00154320987654321,0.006174382716049394
37,PFN-CoCaBO,xgboost_opt,37,0.003703703703703713,0.0016049382716049397,0.006111111111111123
38,PFN-CoCaBO,xgboost_opt,38,0.003580246913580256,0.001418209876543204,0.006296296296296302
39,PFN-CoCaBO,xgboost_opt,39,0.003580246913580256,0.0012962962962963,0.005987654320987663
40,PFN-CoCaBO,xgboost_opt,40,0.0034567901234567994,0.0012345679012345726,0.005740740740740749
41,PFN-CoCaBO,xgboost_opt,41,0.0034567901234567994,0.0012962962962963097,0.005802469135802485
42,PFN-CoCaBO,xgboost_opt,42,0.003518518518518526,0.0012345679012345857,0.005865740740740744
43,PFN-CoCaBO,xgboost_opt,43,0.003518518518518526,0.0012345679012345729,0.005865740740740752
44,PFN-CoCaBO,xgboost_opt,44,0.003456790123456796,0.0012345679012345729,0.005804012345679026
45,PFN-CoCaBO,xgboost_opt,45,0.003641975308641979,0.0016049382716049393,0.0059259259259259196
46,PFN-CoCaBO,xgboost_opt,46,0.003703703703703706,0.0016651234567901197,0.006111111111111112
47,PFN-CoCaBO,xgboost_opt,47,0.003395061728395063,0.0012345679012345696,0.005679012345679012
48,PFN-CoCaBO,xgboost_opt,48,0.0033333333333333327,0.001294753086419743,0.005493827160493831
49,PFN-CoCaBO,xgboost_opt,49,0.0031481481481481495,0.001234567901234566,0.0053101851851851956
50,PFN-CoCaBO,xgboost_opt,50,0.0029629629629629663,0.0008641975308642031,0.005248456790123454
51,PFN-CoCaBO,xgboost_opt,51,0.0029629629629629663,0.0007407407407407427,0.005310185185185189
52,PFN-CoCaBO,xgboost_opt,52,0.0029629629629629663,0.0008626543209876505,0.005370370370370356
53,PFN-CoCaBO,xgboost_opt,53,0.0030864197530864226,0.0009876543209876535,0.005555555555555546
54,PFN-CoCaBO,xgboost_opt,54,0.003024691358024696,0.0008641975308642095,0.005371913580246925
55,PFN-CoCaBO,xgboost_opt,55,0.00290123456790124,0.0008024691358024891,0.005370370370370375
56,PFN-CoCaBO,xgboost_opt,56,0.00290123456790124,0.0007407407407407394,0.005186728395061733
57,PFN-CoCaBO,xgboost_opt,57,0.0029629629629629698,0.0008641975308641962,0.00537037037037037
58,PFN-CoCaBO,xgboost_opt,58,0.0029629629629629698,0.0008641975308642097,0.005432098765432104
59,PFN-CoCaBO,xgboost_opt,59,0.003086419753086426,0.0008024691358024898,0.005617283950617279
60,PFN-CoCaBO,xgboost_opt,60,0.0031481481481481525,0.0011095679012345665,0.005555555555555553
61,PFN-CoCaBO,xgboost_opt,61,0.0031481481481481525,0.0009845679012345674,0.00524691358024692
62,PFN-CoCaBO,xgboost_opt,62,0.0031481481481481525,0.0009861111111111166,0.005555555555555554
63,PFN-CoCaBO,xgboost_opt,63,0.0029629629629629663,0.0008641975308642098,0.005370370370370368
64,PFN-CoCaBO,xgboost_opt,64,0.003024691358024693,0.0008626543209876507,0.005370370370370369
65,PFN-CoCaBO,xgboost_opt,65,0.003148148148148153,0.0010493827160493866,0.005433641975308654
66,PFN-CoCaBO,xgboost_opt,66,0.0030246913580246966,0.0008641975308642065,0.005248456790123462
67,PFN-CoCaBO,xgboost_opt,67,0.0030864197530864235,0.0011728395061728525,0.005370370370370369
68,PFN-CoCaBO,xgboost_opt,68,0.00314814814814815,0.0010493827160493994,0.005617283950617272
69,PFN-CoCaBO,xgboost_opt,69,0.003024691358024693,0.0011095679012345671,0.005185185185185192
70,PFN-CoCaBO,xgboost_opt,70,0.0029629629629629632,0.0009876543209876632,0.005061728395061726
71,PFN-CoCaBO,xgboost_opt,71,0.0029012345679012333,0.0009243827160493737,0.005061728395061726
72,PFN-CoCaBO,xgboost_opt,72,0.0028395061728395034,0.00092438271604938,0.00493827160493827
73,PFN-CoCaBO,xgboost_opt,73,0.0027160493827160467,0.0007407407407407368,0.004754629629629635
74,PFN-CoCaBO,xgboost_opt,74,0.0027777777777777766,0.0010493827160493858,0.00493827160493827
75,PFN-CoCaBO,xgboost_opt,75,0.0029012345679012333,0.0011728395061728495,0.00493827160493827
76,PFN-CoCaBO,xgboost_opt,76,0.0026543209876543233,0.0010493827160493732,0.00432098765432099
77,PFN-CoCaBO,xgboost_opt,77,0.002530864197530867,0.0009259259259259201,0.004137345679012351
78,PFN-CoCaBO,xgboost_opt,78,0.002530864197530867,0.00092592592592592,0.004137345679012345
79,PFN-CoCaBO,xgboost_opt,79,0.002530864197530867,0.0008641975308642034,0.004137345679012362
80,PFN-CoCaBO,xgboost_opt,80,0.002592592592592597,0.000986111111111104,0.004322530864197551
81,PFN-CoCaBO,xgboost_opt,81,0.002592592592592597,0.0009259259259259267,0.004137345679012361
82,PFN-CoCaBO,xgboost_opt,82,0.0023456790123456803,0.0006790123456790164,0.0042592592592592664
83,PFN-CoCaBO,xgboost_opt,83,0.0024074074074074098,0.0008024691358024831,0.004075617283950623
84,PFN-CoCaBO,xgboost_opt,84,0.002530864197530867,0.0008626543209876573,0.004445987654320994
85,PFN-CoCaBO,xgboost_opt,85,0.002530864197530867,0.0008641975308642065,0.004382716049382713
86,PFN-CoCaBO,xgboost_opt,86,0.0025925925925925934,0.0008641975308641935,0.004384259259259262
87,PFN-CoCaBO,xgboost_opt,87,0.0025925925925925934,0.000864197530864197,0.004320987654321003
88,PFN-CoCaBO,xgboost_opt,88,0.0025925925925925934,0.0009259259259259269,0.004320987654320987
89,PFN-CoCaBO,xgboost_opt,89,0.0026543209876543203,0.0011111111111111332,0.004382716049382718
90,PFN-CoCaBO,xgboost_opt,90,0.0026543209876543203,0.0009259259259259333,0.004506172839506174
91,PFN-CoCaBO,xgboost_opt,91,0.0026543209876543203,0.0009259259259259369,0.00444444444444444
92,PFN-CoCaBO,xgboost_opt,92,0.0026543209876543203,0.0009876543209876598,0.00444444444444445
93,PFN-CoCaBO,xgboost_opt,93,0.0026543209876543203,0.0009861111111111038,0.004445987654320988
94,PFN-CoCaBO,xgboost_opt,94,0.0025925925925925903,0.0011728395061728436,0.0043827160493827184
95,PFN-CoCaBO,xgboost_opt,95,0.0025925925925925903,0.0009876543209876474,0.00432098765432099
96,PFN-CoCaBO,xgboost_opt,96,0.0025925925925925903,0.0008626543209876474,0.00425925925925926
97,PFN-CoCaBO,xgboost_opt,97,0.0025925925925925903,0.0009876543209876563,0.004444444444444444
98,PFN-CoCaBO,xgboost_opt,98,0.002777777777777774,0.0010493827160493803,0.004444444444444447
99,PFN-CoCaBO,xgboost_opt,99,0.002777777777777777,0.0012962962962962902,0.004444444444444453
100,PFN-CoCaBO,xgboost_opt,100,0.0025925925925925934,0.0010493827160493836,0.004197530864197527
101,PFN-CoCaBO,xgboost_opt,101,0.0025308641975308635,0.0009876543209876537,0.004137345679012342
102,PFN-CoCaBO,xgboost_opt,102,0.0022839506172839504,0.0009259259259259198,0.0037669753086419754
103,PFN-CoCaBO,xgboost_opt,103,0.0023456790123456773,0.0007407407407407402,0.003888888888888884
104,PFN-CoCaBO,xgboost_opt,104,0.0023456790123456773,0.0009876543209876442,0.0038271604938271636
105,PFN-CoCaBO,xgboost_opt,105,0.0021604938271604906,0.0007407407407407369,0.0037037037037037012
106,PFN-CoCaBO,xgboost_opt,106,0.001975308641975304,0.0004938271604938172,0.003456790123456784
107,PFN-CoCaBO,xgboost_opt,107,0.001975308641975304,0.0004938271604938274,0.003456790123456784
108,PFN-CoCaBO,xgboost_opt,108,0.001975308641975304,0.0004938271604938206,0.0034567901234567873
109,PFN-CoCaBO,xgboost_opt,109,0.002037037037037034,0.0006172839506172806,0.003518518518518517
110,PFN-CoCaBO,xgboost_opt,110,0.002037037037037034,0.0004938271604938107,0.0037037037037037034
111,PFN-CoCaBO,xgboost_opt,111,0.002037037037037034,0.0006790123456790106,0.003641975308641974
112,PFN-CoCaBO,xgboost_opt,112,0.002037037037037034,0.0004938271604938238,0.003580246913580241
113,PFN-CoCaBO,xgboost_opt,113,0.0019135802469135773,0.0006774691358024515,0.0033333333333333335
114,PFN-CoCaBO,xgboost_opt,114,0.0019135802469135773,0.0004320987654320905,0.0032098765432098776
115,PFN-CoCaBO,xgboost_opt,115,0.0019135802469135773,0.00043055555555555094,0.003333333333333334
116,PFN-CoCaBO,xgboost_opt,116,0.0019135802469135773,0.0004938271604938303,0.003334876543209889
117,PFN-CoCaBO,xgboost_opt,117,0.0016666666666666672,0.00012345679012345977,0.003148148148148151
118,PFN-CoCaBO,xgboost_opt,118,0.0016666666666666672,0.000307098765432091,0.0032098765432098776
119,PFN-CoCaBO,xgboost_opt,119,0.0015432098765432102,-1.5432098765521506e-06,0.0030864197530864226
120,PFN-CoCaBO,xgboost_opt,120,0.001296296296296297,-0.00018518518518517997,0.002839506172839516
121,PFN-CoCaBO,xgboost_opt,121,0.0013580246913580238,-0.0002484567901234689,0.0030246913580246875
122,PFN-CoCaBO,xgboost_opt,122,0.0013580246913580238,-0.00012345679012345972,0.0029629629629629576
123,PFN-CoCaBO,xgboost_opt,123,0.0012962962962962939,-0.000246913580246913,0.002901234567901234
124,PFN-CoCaBO,xgboost_opt,124,0.0012962962962962939,-0.00030864197530863996,0.002964506172839512
125,PFN-CoCaBO,xgboost_opt,125,0.0012962962962962939,-6.327160493827922e-05,0.0028395061728394974
126,PFN-CoCaBO,xgboost_opt,126,0.0012962962962962939,-0.00030864197530864007,0.0028410493827160555
127,PFN-CoCaBO,xgboost_opt,127,0.0012345679012345638,-0.00024845679012346566,0.0027160493827160376
128,PFN-CoCaBO,xgboost_opt,128,0.0013580246913580207,-0.00018518518518518962,0.00296296296296296
129,PFN-CoCaBO,xgboost_opt,129,0.0013580246913580207,-9.263423361716148e-18,0.0028395061728395004
130,PFN-CoCaBO,xgboost_opt,130,0.0013580246913580207,-0.00012345679012344682,0.002841049382716053
131,PFN-CoCaBO,xgboost_opt,131,0.0013580246913580207,-0.00012500000000001532,0.0029012345679012242
132,PFN-CoCaBO,xgboost_opt,132,0.0013580246913580207,-6.172839506173299e-05,0.0029645061728395053
133,PFN-CoCaBO,xgboost_opt,133,0.0011728395061728339,-0.0001851851851851862,0.0026543209876543146
134,PFN-CoCaBO,xgboost_opt,134,0.0011728395061728339,-0.00018518518518519648,0.002592592592592587
135,PFN-CoCaBO,xgboost_opt,135,0.001234567901234564,-0.00012345679012347593,0.0027160493827160415
136,PFN-CoCaBO,xgboost_opt,136,0.001234567901234564,-0.00018518518518517713,0.0027160493827160506
137,PFN-CoCaBO,xgboost_opt,137,0.0011728395061728339,-0.00018518518518518678,0.002530864197530858
138,PFN-CoCaBO,xgboost_opt,138,0.0011728395061728339,-0.00012345679012346598,0.002592592592592588
139,PFN-CoCaBO,xgboost_opt,139,0.0011728395061728339,-0.00024691358024691,0.0025308641975308505
140,PFN-CoCaBO,xgboost_opt,140,0.0011111111111111072,-0.00018518518518518344,0.00253086419753086
141,PFN-CoCaBO,xgboost_opt,141,0.0011111111111111072,-0.0002469135802469263,0.0025308641975308644
142,PFN-CoCaBO,xgboost_opt,142,0.0011111111111111072,-0.0001851851851851895,0.0024691358024691305
143,PFN-CoCaBO,xgboost_opt,143,0.0011111111111111072,-0.0002469135802469064,0.002530864197530854
144,PFN-CoCaBO,xgboost_opt,144,0.0011111111111111072,-0.00018518518518519282,0.002594135802469142
145,PFN-CoCaBO,xgboost_opt,145,0.0010493827160493806,-0.00030864197530864647,0.002469135802469131
146,PFN-CoCaBO,xgboost_opt,146,0.0009259259259259237,-0.00049382716049382,0.0024089506172839553
147,PFN-CoCaBO,xgboost_opt,147,0.0007407407407407369,-0.0006172839506172862,0.0022839506172839504
148,PFN-CoCaBO,xgboost_opt,148,0.0008024691358024669,-0.0004938271604938272,0.0023456790123456738
149,PFN-CoCaBO,xgboost_opt,149,0.0008024691358024669,-0.0006172839506172868,0.002223765432098766
150,PFN-CoCaBO,xgboost_opt,150,0.0008024691358024669,-0.0004953703703703796,0.0024074074074074046
151,PFN-CoCaBO,xgboost_opt,151,0.0008024691358024669,-0.0005555555555555563,0.002285493827160501
152,PFN-CoCaBO,xgboost_opt,152,0.0008024691358024669,-0.0004938271604938167,0.0022839506172839404
153,PFN-CoCaBO,xgboost_opt,153,0.0008024691358024669,-0.0005555555555555501,0.002222222222222217
154,PFN-CoCaBO,xgboost_opt,154,0.0009259259259259269,-0.0004320987654320968,0.002408950617283955
155,PFN-CoCaBO,xgboost_opt,155,0.0009259259259259269,-0.0004953703703703791,0.002469135802469143
156,PFN-CoCaBO,xgboost_opt,156,0.0009259259259259269,-0.0004336419753086493,0.002407407407407414
157,PFN-CoCaBO,xgboost_opt,157,0.0009259259259259269,-0.0004320987654321063,0.0024706790123456847
158,PFN-CoCaBO,xgboost_opt,158,0.0009259259259259269,-0.0004938271604938132,0.0022839506172839573
159,PFN-CoCaBO,xgboost_opt,159,0.0009259259259259269,-0.00037191358024691933,0.002408950617283959
160,PFN-CoCaBO,xgboost_opt,160,0.0009259259259259269,-0.0004320987654320999,0.0023456790123456833
161,PFN-CoCaBO,xgboost_opt,161,0.0009259259259259269,-0.00037037037037036705,0.002347222222222234
162,PFN-CoCaBO,xgboost_opt,162,0.0009259259259259269,-0.0003703703703703732,0.0025925925925926008
163,PFN-CoCaBO,xgboost_opt,163,0.0008641975308642003,-0.0005555555555555471,0.002222222222222221
164,PFN-CoCaBO,xgboost_opt,164,0.0008641975308642003,-0.00043364197530865276,0.0023456790123456838
165,PFN-CoCaBO,xgboost_opt,165,0.0008641975308642003,-0.00043209876543210014,0.0022839506172839543
166,PFN-CoCaBO,xgboost_opt,166,0.0008641975308642003,-0.0004953703703703755,0.0023456790123456872
167,PFN-CoCaBO,xgboost_opt,167,0.0008641975308642003,-0.0004320987654321,0.002283950617283964
168,PFN-CoCaBO,xgboost_opt,168,0.0008641975308642003,-0.0006790123456790032,0.0023456790123456833
169,PFN-CoCaBO,xgboost_opt,169,0.0008641975308642035,-0.0004938271604938066,0.0022237654320987725
170,PFN-CoCaBO,xgboost_opt,170,0.0009876543209876602,-0.0003086419753086432,0.0025308641975308644
171,PFN-CoCaBO,xgboost_opt,171,0.0009259259259259336,-0.0004320987654320966,0.0022854938271605124
172,PFN-CoCaBO,xgboost_opt,172,0.0007407407407407468,-0.0005555555555555502,0.002098765432098774
173,PFN-CoCaBO,xgboost_opt,173,0.00061728395061729,-0.0006790123456790032,0.0019151234567901406
174,PFN-CoCaBO,xgboost_opt,174,0.00061728395061729,-0.0006790123456790039,0.0020370370370370434
175,PFN-CoCaBO,xgboost_opt,175,0.00061728395061729,-0.0005570987654320963,0.002162037037037048
176,PFN-CoCaBO,xgboost_opt,176,0.00061728395061729,-0.0006172839506172803,0.0020987654320987767
177,PFN-CoCaBO,xgboost_opt,177,0.0005555555555555634,-0.0005570987654321061,0.0018518518518518638
178,PFN-CoCaBO,xgboost_opt,178,0.00043209876543210334,-0.0007422839506172894,0.001666666666666683
179,PFN-CoCaBO,xgboost_opt,179,0.00043209876543210334,-0.0007422839506172803,0.0016666666666666705
180,PFN-CoCaBO,xgboost_opt,180,0.00043209876543210334,-0.0007407407407407368,0.0016682098765432214
181,PFN-CoCaBO,xgboost_opt,181,0.00024691358024691673,-0.0008024691358024632,0.0012962962962962967
182,PFN-CoCaBO,xgboost_opt,182,0.00018518518518519008,-0.0008641975308641868,0.0012361111111111281
183,PFN-CoCaBO,xgboost_opt,183,0.00018518518518519008,-0.000987654320987627,0.001172839506172844
184,PFN-CoCaBO,xgboost_opt,184,0.00018518518518519008,-0.0008024691358024703,0.0011743827160494071
185,PFN-CoCaBO,xgboost_opt,185,0.00018518518518519008,-0.0008657407407407494,0.0012345679012345768
186,PFN-CoCaBO,xgboost_opt,186,0.0002469135802469201,-0.00080246913580247,0.0014197530864197567
187,PFN-CoCaBO,xgboost_opt,187,0.0002469135802469201,-0.000864197530864187,0.0012345679012345735
188,PFN-CoCaBO,xgboost_opt,188,0.0002469135802469201,-0.0008024691358024671,0.0012962962962963104
189,PFN-CoCaBO,xgboost_opt,189,0.00018518518518519344,-0.0007407407407407368,0.0012345679012345768
190,PFN-CoCaBO,xgboost_opt,190,0.00018518518518519344,-0.0007407407407407335,0.0011728395061728532
191,PFN-CoCaBO,xgboost_opt,191,0.00018518518518519344,-0.0008641975308641938,0.0011728395061728466
192,PFN-CoCaBO,xgboost_opt,192,0.00018518518518519344,-0.0007407407407407204,0.0012345679012345802
193,PFN-CoCaBO,xgboost_opt,193,0.00018518518518519344,-0.0007407407407407335,0.0011728395061728438
194,PFN-CoCaBO,xgboost_opt,194,0.00030864197530865015,-0.0008024691358024437,0.001296296296296317
195,PFN-CoCaBO,xgboost_opt,195,0.0001851851851851902,-0.0009259259259259203,0.0011728395061728473
196,PFN-CoCaBO,xgboost_opt,196,0.0001851851851851902,-0.0008641975308641873,0.0012962962962963034
197,PFN-CoCaBO,xgboost_opt,197,0.00024691358024691695,-0.0007407407407407369,0.0012361111111111247
198,PFN-CoCaBO,xgboost_opt,198,0.00024691358024691695,-0.0007407407407407433,0.0012345679012345805
199,PFN-CoCaBO,xgboost_opt,199,0.00024691358024691695,-0.0006790123456790039,0.0012345679012345776
200,PFN-CoCaBO,xgboost_opt,200,0.00024691358024691695,-0.0006790123456790134,0.001296296296296297
0,PFN-Casmopolitan,xgboost_opt,0,0.0,0.0,0.0
1,PFN-Casmopolitan,xgboost_opt,1,-0.005679012345679014,-0.010371913580246925,-0.0013564814814814793
2,PFN-Casmopolitan,xgboost_opt,2,-0.0052469135802469275,-0.009629629629629632,-0.0010493827160493912
3,PFN-Casmopolitan,xgboost_opt,3,-0.002716049382716061,-0.008395061728395057,0.0032098765432098694
4,PFN-Casmopolitan,xgboost_opt,4,-0.0017283950617284014,-0.008209876543209876,0.0049398148148148005
