,optimizer,comparison,task,iteration,mean_rank,lb,ub
0,PFN-CoCaBO,vs. PFNs,griewank,0.0,2.5,2.5,2.5
1,PFN-CoCaBO,vs. PFNs,griewank,1.0,2.85,2.6,3.0833333333333335
2,PFN-CoCaBO,vs. PFNs,griewank,2.0,2.7,2.3,3.066666666666667
3,PFN-CoCaBO,vs. PFNs,griewank,3.0,2.783333333333333,2.41625,3.15
4,PFN-CoCaBO,vs. PFNs,griewank,4.0,2.9166666666666665,2.533333333333333,3.2666666666666666
5,PFN-CoCaBO,vs. PFNs,griewank,5.0,3.1166666666666667,2.76625,3.4504166666666665
6,PFN-CoCaBO,vs. PFNs,griewank,6.0,3.1666666666666665,2.799583333333333,3.466666666666667
7,PFN-CoCaBO,vs. PFNs,griewank,7.0,3.1,2.7333333333333334,3.466666666666667
8,PFN-CoCaBO,vs. PFNs,griewank,8.0,3.05,2.6666666666666665,3.4166666666666665
9,PFN-CoCaBO,vs. PFNs,griewank,9.0,3.05,2.65,3.466666666666667
10,PFN-CoCaBO,vs. PFNs,griewank,10.0,3.1,2.6829166666666664,3.4833333333333334
11,PFN-CoCaBO,vs. PFNs,griewank,11.0,3.066666666666667,2.5995833333333334,3.467083333333333
12,PFN-CoCaBO,vs. PFNs,griewank,12.0,3.1166666666666667,2.6666666666666665,3.55
13,PFN-CoCaBO,vs. PFNs,griewank,13.0,3.1333333333333333,2.7,3.533333333333333
14,PFN-CoCaBO,vs. PFNs,griewank,14.0,3.066666666666667,2.665833333333333,3.466666666666667
15,PFN-CoCaBO,vs. PFNs,griewank,15.0,2.966666666666667,2.566666666666667,3.3666666666666667
16,PFN-CoCaBO,vs. PFNs,griewank,16.0,2.966666666666667,2.5658333333333334,3.3666666666666667
17,PFN-CoCaBO,vs. PFNs,griewank,17.0,3.0,2.5991666666666666,3.4
18,PFN-CoCaBO,vs. PFNs,griewank,18.0,3.066666666666667,2.6333333333333333,3.433333333333333
19,PFN-CoCaBO,vs. PFNs,griewank,19.0,3.066666666666667,2.7,3.433333333333333
20,PFN-CoCaBO,vs. PFNs,griewank,20.0,3.1,2.7,3.466666666666667
21,PFN-CoCaBO,vs. PFNs,griewank,21.0,3.1,2.7,3.466666666666667
22,PFN-CoCaBO,vs. PFNs,griewank,22.0,3.066666666666667,2.6666666666666665,3.4
23,PFN-CoCaBO,vs. PFNs,griewank,23.0,3.1333333333333333,2.7666666666666666,3.5
24,PFN-CoCaBO,vs. PFNs,griewank,24.0,3.2,2.8333333333333335,3.533333333333333
25,PFN-CoCaBO,vs. PFNs,griewank,25.0,3.1333333333333333,2.7666666666666666,3.5
26,PFN-CoCaBO,vs. PFNs,griewank,26.0,3.033333333333333,2.6666666666666665,3.3666666666666667
27,PFN-CoCaBO,vs. PFNs,griewank,27.0,3.1,2.7333333333333334,3.4
28,PFN-CoCaBO,vs. PFNs,griewank,28.0,3.033333333333333,2.6666666666666665,3.3666666666666667
29,PFN-CoCaBO,vs. PFNs,griewank,29.0,3.0,2.6666666666666665,3.3666666666666667
30,PFN-CoCaBO,vs. PFNs,griewank,30.0,3.0,2.6333333333333333,3.3333333333333335
31,PFN-CoCaBO,vs. PFNs,griewank,31.0,2.966666666666667,2.6,3.3
32,PFN-CoCaBO,vs. PFNs,griewank,32.0,3.0,2.6333333333333333,3.3333333333333335
33,PFN-CoCaBO,vs. PFNs,griewank,33.0,3.033333333333333,2.665833333333333,3.3666666666666667
34,PFN-CoCaBO,vs. PFNs,griewank,34.0,3.066666666666667,2.6666666666666665,3.4
35,PFN-CoCaBO,vs. PFNs,griewank,35.0,3.1,2.7666666666666666,3.433333333333333
36,PFN-CoCaBO,vs. PFNs,griewank,36.0,3.1333333333333333,2.7333333333333334,3.466666666666667
37,PFN-CoCaBO,vs. PFNs,griewank,37.0,3.066666666666667,2.6666666666666665,3.433333333333333
38,PFN-CoCaBO,vs. PFNs,griewank,38.0,3.1,2.6666666666666665,3.5
39,PFN-CoCaBO,vs. PFNs,griewank,39.0,3.1,2.7,3.466666666666667
40,PFN-CoCaBO,vs. PFNs,griewank,40.0,3.1333333333333333,2.7333333333333334,3.533333333333333
41,PFN-CoCaBO,vs. PFNs,griewank,41.0,3.1,2.6333333333333333,3.5
42,PFN-CoCaBO,vs. PFNs,griewank,42.0,3.066666666666667,2.6333333333333333,3.466666666666667
43,PFN-CoCaBO,vs. PFNs,griewank,43.0,3.066666666666667,2.6666666666666665,3.466666666666667
44,PFN-CoCaBO,vs. PFNs,griewank,44.0,3.033333333333333,2.6,3.433333333333333
