,optimizer,x_type,x_val,mean_overlap,lb,ub
4,pfn_cocabo_51,Number of Training Data,4,0.8349039332297931,0.8272234886865794,0.8425355614512674
9,pfn_cocabo_51,Number of Training Data,9,0.7931611496143888,0.786591912677939,0.7998083590555136
16,pfn_cocabo_51,Number of Training Data,16,0.7994191055453465,0.7937772682339558,0.8054810561743817
25,pfn_cocabo_51,Number of Training Data,25,0.8033327140952773,0.7976652347627615,0.8089399520433503
36,pfn_cocabo_51,Number of Training Data,36,0.8051862035832107,0.7995453643200167,0.8106771042795834
49,pfn_cocabo_51,Number of Training Data,49,0.8005153021669628,0.7940582167617016,0.8066409754560442
64,pfn_cocabo_51,Number of Training Data,64,0.8028064190139504,0.796216920246686,0.8088427870296369
81,pfn_cocabo_51,Number of Training Data,81,0.797678660836059,0.7906823208631611,0.8044776944460661
100,pfn_cocabo_51,Number of Training Data,100,0.7924266956050757,0.7841595961342953,0.8004991963405798
121,pfn_cocabo_51,Number of Training Data,121,0.7905306950742508,0.783095917000289,0.7989260528741995
144,pfn_cocabo_51,Number of Training Data,144,0.7840193807311655,0.7748281400030255,0.7927170321348225
169,pfn_cocabo_51,Number of Training Data,169,0.7817805277142972,0.7726296610167658,0.7901891595489111
196,pfn_cocabo_51,Number of Training Data,196,0.7727328882710209,0.7626965616065011,0.7814779834590277
4,pfn_casmopolitan_16,Number of Training Data,4,0.8421733866037132,0.8350695848631912,0.8489804855866266
9,pfn_casmopolitan_16,Number of Training Data,9,0.8025216567697103,0.795329654707228,0.8092647125128304
16,pfn_casmopolitan_16,Number of Training Data,16,0.8108115587549437,0.8055120439078891,0.8163231750469655
25,pfn_casmopolitan_16,Number of Training Data,25,0.8233073082944512,0.8183158148618135,0.8281794761120758
36,pfn_casmopolitan_16,Number of Training Data,36,0.8318093133072877,0.8270033062608194,0.8363931407664632
49,pfn_casmopolitan_16,Number of Training Data,49,0.8325479780956123,0.827407974425017,0.8374705104596488
64,pfn_casmopolitan_16,Number of Training Data,64,0.8307664224534416,0.8262691499750799,0.8354793508951944
81,pfn_casmopolitan_16,Number of Training Data,81,0.8270936522954399,0.8219035892466331,0.8323419401807269
100,pfn_casmopolitan_16,Number of Training Data,100,0.8190304089271894,0.8133271917244398,0.8247943336744206
121,pfn_casmopolitan_16,Number of Training Data,121,0.8090885862825388,0.803974402285541,0.8145995716035802
144,pfn_casmopolitan_16,Number of Training Data,144,0.8022497120267003,0.796369346640934,0.8076698919332267
169,pfn_casmopolitan_16,Number of Training Data,169,0.7940851532051518,0.787760814336573,0.8004385963940112
196,pfn_casmopolitan_16,Number of Training Data,196,0.7866968967206018,0.7794883835130629,0.793461610648241
4,pfn_bodi_24,Number of Training Data,4,0.8726193658394928,0.8652492062870394,0.8794489649569853
9,pfn_bodi_24,Number of Training Data,9,0.8135097095150255,0.8066458723049162,0.8197456049680438
16,pfn_bodi_24,Number of Training Data,16,0.7802804044655192,0.7741630616882522,0.7862036223699752
25,pfn_bodi_24,Number of Training Data,25,0.7778078972005881,0.7726429043554163,0.783292216643616
36,pfn_bodi_24,Number of Training Data,36,0.757885789332364,0.7517243606330396,0.7642273078315319
49,pfn_bodi_24,Number of Training Data,49,0.7551217960902905,0.7492073569487028,0.7611073318531444
64,pfn_bodi_24,Number of Training Data,64,0.746514132426029,0.7402501533951846,0.751971137377523
81,pfn_bodi_24,Number of Training Data,81,0.7347060769019733,0.7277346660050256,0.7414767833631255
100,pfn_bodi_24,Number of Training Data,100,0.727375359052071,0.7206013713111609,0.7339866750376125
121,pfn_bodi_24,Number of Training Data,121,0.7133304027873938,0.705631270483061,0.7209864780839974
144,pfn_bodi_24,Number of Training Data,144,0.7054997639776242,0.6979856187913444,0.7135791494920666
