,optimizer,n_training_data,mean_overlap,lb,ub
4,pfn_cocabo_51,4,0.8349039332297931,0.8269268409338899,0.8428444556747612
9,pfn_cocabo_51,9,0.7931611496143888,0.7863214199124708,0.7996541833125133
16,pfn_cocabo_51,16,0.7994191055453465,0.7931147438883265,0.8053659145332225
25,pfn_cocabo_51,25,0.8033327140952773,0.7970813142447446,0.80850256931825
36,pfn_cocabo_51,36,0.8051862035832107,0.7991706156345607,0.8108441837323489
49,pfn_cocabo_51,49,0.8005153021669628,0.7940608483803177,0.8066964949448341
64,pfn_cocabo_51,64,0.8028064190139504,0.7967149879435123,0.8093871612015833
81,pfn_cocabo_51,81,0.797678660836059,0.7902892171395196,0.8048390163058118
100,pfn_cocabo_51,100,0.7924266956050757,0.7843727914048707,0.8002474592406567
121,pfn_cocabo_51,121,0.7905306950742508,0.7823045923086165,0.7989979778192708
144,pfn_cocabo_51,144,0.7840193807311655,0.775293308671327,0.7926895389082931
169,pfn_cocabo_51,169,0.7817805277142972,0.7720443268404176,0.7913071936014952
196,pfn_cocabo_51,196,0.7727328882710209,0.7633444020837972,0.7812927339942449
4,pfn_casmopolitan_16,4,0.8421733866037132,0.8348172503154697,0.8489704932001719
9,pfn_casmopolitan_16,9,0.8025216567697103,0.7959176122682635,0.809486490698495
16,pfn_casmopolitan_16,16,0.8108115587549437,0.8049362743696118,0.8157688903022101
25,pfn_casmopolitan_16,25,0.8233073082944512,0.8185207995998113,0.8282892617208568
36,pfn_casmopolitan_16,36,0.8318093133072877,0.8270680682833397,0.8366317492602704
49,pfn_casmopolitan_16,49,0.8325479780956123,0.8276559255695431,0.8374326182037213
64,pfn_casmopolitan_16,64,0.8307664224534416,0.82620607555224,0.835480415402436
81,pfn_casmopolitan_16,81,0.8270936522954399,0.8217201141640459,0.8317314701494435
100,pfn_casmopolitan_16,100,0.8190304089271894,0.8136728841598785,0.8243933595364747
121,pfn_casmopolitan_16,121,0.8090885862825388,0.8031877551011344,0.8147719680706064
144,pfn_casmopolitan_16,144,0.8022497120267003,0.7965256762459278,0.8083590443801099
169,pfn_casmopolitan_16,169,0.7940851532051518,0.787878537819276,0.8007110472142674
196,pfn_casmopolitan_16,196,0.7866968967206018,0.7798691440784769,0.7930361225984424
4,pfn_bodi_24,4,0.8726193658394928,0.865301470229219,0.8794581547963264
9,pfn_bodi_24,9,0.8135097095150255,0.8069094828665766,0.8204870293241221
16,pfn_bodi_24,16,0.7802804044655192,0.7744620121787416,0.7861080605575056
25,pfn_bodi_24,25,0.7778078972005881,0.7726946037305952,0.7831168621766196
36,pfn_bodi_24,36,0.757885789332364,0.7514012363884227,0.7641833818162539
49,pfn_bodi_24,49,0.7551217960902905,0.7497276296056844,0.7606294396347579
64,pfn_bodi_24,64,0.746514132426029,0.7407957798992202,0.7521916502781671
81,pfn_bodi_24,81,0.7347060769019733,0.7279354720175794,0.7417436304285492
100,pfn_bodi_24,100,0.727375359052071,0.7204861579136671,0.7342167634679808
121,pfn_bodi_24,121,0.7133304027873938,0.7062900977162686,0.7208249853125753
144,pfn_bodi_24,144,0.7054997639776242,0.6977638965118823,0.7132594720133665
