,optimizer_name,comparison,task_name,n_training_data,mean_rank,lb,ub
4,PFN-CoCaBO,vs. Other PFNs,All Tasks,4.0,2.23,2.1279,2.338
9,PFN-CoCaBO,vs. Other PFNs,All Tasks,9.0,2.042,1.938,2.136
16,PFN-CoCaBO,vs. Other PFNs,All Tasks,16.0,2.006,1.9139499999999998,2.096
25,PFN-CoCaBO,vs. Other PFNs,All Tasks,25.0,2.014,1.924,2.10005
36,PFN-CoCaBO,vs. Other PFNs,All Tasks,36.0,1.836,1.754,1.922
49,PFN-CoCaBO,vs. Other PFNs,All Tasks,49.0,1.72,1.6399499999999998,1.802
64,PFN-CoCaBO,vs. Other PFNs,All Tasks,64.0,1.58,1.512,1.65
81,PFN-CoCaBO,vs. Other PFNs,All Tasks,81.0,1.554,1.482,1.6320999999999999
100,PFN-CoCaBO,vs. Other PFNs,All Tasks,100.0,1.52,1.456,1.58405
121,PFN-CoCaBO,vs. Other PFNs,All Tasks,121.0,1.502,1.4359499999999998,1.576
144,PFN-CoCaBO,vs. Other PFNs,All Tasks,144.0,1.44,1.376,1.5021
169,PFN-CoCaBO,vs. Other PFNs,All Tasks,169.0,1.416,1.35595,1.474
196,PFN-CoCaBO,vs. Other PFNs,All Tasks,196.0,1.432,1.366,1.4940499999999999
4,PFN-Casmopolitan,vs. Other PFNs,All Tasks,4.0,2.232,2.128,2.332
9,PFN-Casmopolitan,vs. Other PFNs,All Tasks,9.0,2.332,2.2359500000000003,2.424
16,PFN-Casmopolitan,vs. Other PFNs,All Tasks,16.0,2.366,2.272,2.458
25,PFN-Casmopolitan,vs. Other PFNs,All Tasks,25.0,2.41,2.324,2.49805
36,PFN-Casmopolitan,vs. Other PFNs,All Tasks,36.0,2.396,2.314,2.47805
49,PFN-Casmopolitan,vs. Other PFNs,All Tasks,49.0,2.458,2.378,2.546
64,PFN-Casmopolitan,vs. Other PFNs,All Tasks,64.0,2.524,2.454,2.5940499999999997
81,PFN-Casmopolitan,vs. Other PFNs,All Tasks,81.0,2.518,2.446,2.586
100,PFN-Casmopolitan,vs. Other PFNs,All Tasks,100.0,2.45,2.384,2.52005
121,PFN-Casmopolitan,vs. Other PFNs,All Tasks,121.0,2.456,2.3899500000000002,2.52005
144,PFN-Casmopolitan,vs. Other PFNs,All Tasks,144.0,2.472,2.406,2.5380499999999997
169,PFN-Casmopolitan,vs. Other PFNs,All Tasks,169.0,2.45,2.38,2.526
196,PFN-Casmopolitan,vs. Other PFNs,All Tasks,196.0,2.442,2.374,2.512
4,PFN-BODi,vs. Other PFNs,All Tasks,4.0,3.298,3.204,3.378
9,PFN-BODi,vs. Other PFNs,All Tasks,9.0,3.382,3.288,3.466
16,PFN-BODi,vs. Other PFNs,All Tasks,16.0,3.508,3.424,3.5820499999999997
25,PFN-BODi,vs. Other PFNs,All Tasks,25.0,3.464,3.376,3.546
36,PFN-BODi,vs. Other PFNs,All Tasks,36.0,3.63,3.552,3.70205
49,PFN-BODi,vs. Other PFNs,All Tasks,49.0,3.712,3.644,3.77405
64,PFN-BODi,vs. Other PFNs,All Tasks,64.0,3.814,3.76195,3.8640499999999998
81,PFN-BODi,vs. Other PFNs,All Tasks,81.0,3.814,3.75795,3.86605
100,PFN-BODi,vs. Other PFNs,All Tasks,100.0,3.87,3.824,3.91
121,PFN-BODi,vs. Other PFNs,All Tasks,121.0,3.856,3.808,3.9
144,PFN-BODi,vs. Other PFNs,All Tasks,144.0,3.852,3.8,3.902
169,PFN-BODi,vs. Other PFNs,All Tasks,169.0,3.922,3.89,3.954
196,PFN-BODi,vs. Other PFNs,All Tasks,196.0,3.914,3.876,3.946
4,PFN-Mixed,vs. Other PFNs,All Tasks,4.0,2.24,2.178,2.3
9,PFN-Mixed,vs. Other PFNs,All Tasks,9.0,2.244,2.174,2.3120499999999997
16,PFN-Mixed,vs. Other PFNs,All Tasks,16.0,2.12,2.04995,2.194
25,PFN-Mixed,vs. Other PFNs,All Tasks,25.0,2.112,2.036,2.184
36,PFN-Mixed,vs. Other PFNs,All Tasks,36.0,2.138,2.06995,2.21
49,PFN-Mixed,vs. Other PFNs,All Tasks,49.0,2.11,2.048,2.178
64,PFN-Mixed,vs. Other PFNs,All Tasks,64.0,2.082,2.016,2.148
81,PFN-Mixed,vs. Other PFNs,All Tasks,81.0,2.114,2.048,2.178
100,PFN-Mixed,vs. Other PFNs,All Tasks,100.0,2.16,2.09,2.222
121,PFN-Mixed,vs. Other PFNs,All Tasks,121.0,2.186,2.124,2.256
144,PFN-Mixed,vs. Other PFNs,All Tasks,144.0,2.236,2.17395,2.296
169,PFN-Mixed,vs. Other PFNs,All Tasks,169.0,2.212,2.15,2.274
196,PFN-Mixed,vs. Other PFNs,All Tasks,196.0,2.212,2.148,2.2720499999999997
