,optimizer_name,task_name,n_training_data,mean_rank,lb,ub
4,cocabo,schwefel,4.0,4.76,4.3397499999999996,5.19025
9,cocabo,schwefel,9.0,5.18,4.769749999999999,5.55
16,cocabo,schwefel,16.0,5.67,5.37,5.96
25,cocabo,schwefel,25.0,5.33,4.95,5.68
36,cocabo,schwefel,36.0,5.06,4.65,5.43
49,cocabo,schwefel,49.0,4.69,4.27975,5.08
64,cocabo,schwefel,64.0,4.86,4.48975,5.21
81,cocabo,schwefel,81.0,4.18,3.79975,4.58
100,cocabo,schwefel,100.0,3.77,3.31,4.17
121,cocabo,schwefel,121.0,3.69,3.31,4.11
144,cocabo,schwefel,144.0,3.42,3.02975,3.81
169,cocabo,schwefel,169.0,3.03,2.66975,3.4
196,cocabo,schwefel,196.0,3.1,2.72975,3.51
4,casmopolitan,schwefel,4.0,5.01,4.57975,5.41025
9,casmopolitan,schwefel,9.0,5.29,4.87975,5.680249999999999
16,casmopolitan,schwefel,16.0,4.92,4.51,5.33
25,casmopolitan,schwefel,25.0,5.03,4.66,5.36
36,casmopolitan,schwefel,36.0,4.67,4.28,5.05
49,casmopolitan,schwefel,49.0,4.62,4.23,5.0
64,casmopolitan,schwefel,64.0,4.53,4.16,4.89
81,casmopolitan,schwefel,81.0,4.05,3.67,4.43
100,casmopolitan,schwefel,100.0,4.11,3.7,4.48025
121,casmopolitan,schwefel,121.0,3.6,3.20975,4.0
144,casmopolitan,schwefel,144.0,3.72,3.35975,4.05
169,casmopolitan,schwefel,169.0,3.46,3.11,3.81
196,casmopolitan,schwefel,196.0,3.25,2.92,3.5902499999999997
4,bodi,schwefel,4.0,4.19,3.74975,4.66025
9,bodi,schwefel,9.0,4.79,4.43,5.17
16,bodi,schwefel,16.0,5.37,5.03,5.65
25,bodi,schwefel,25.0,5.19,4.83,5.54
36,bodi,schwefel,36.0,5.69,5.36,5.96
49,bodi,schwefel,49.0,5.34,4.98,5.69
64,bodi,schwefel,64.0,5.28,4.91,5.6202499999999995
81,bodi,schwefel,81.0,5.07,4.7,5.42
100,bodi,schwefel,100.0,5.08,4.74975,5.43
121,bodi,schwefel,121.0,4.72,4.37,5.07
144,bodi,schwefel,144.0,4.22,3.8697500000000002,4.57
169,bodi,schwefel,169.0,4.41,4.06975,4.78
196,bodi,schwefel,196.0,4.21,3.84,4.59
4,dummy_baseline,schwefel,4.0,3.23,2.97,3.49
9,dummy_baseline,schwefel,9.0,3.0,2.73,3.29
16,dummy_baseline,schwefel,16.0,3.38,3.1,3.66
25,dummy_baseline,schwefel,25.0,4.02,3.7,4.3
36,dummy_baseline,schwefel,36.0,4.53,4.23,4.7902499999999995
49,dummy_baseline,schwefel,49.0,5.11,4.84,5.4
64,dummy_baseline,schwefel,64.0,5.51,5.26,5.77
81,dummy_baseline,schwefel,81.0,5.91,5.62,6.17
100,dummy_baseline,schwefel,100.0,6.16,5.94,6.36
