,optimizer_name,task_name,n_training_data,mean_rank,lb,ub
4,cocabo,schwefel,4.0,4.76,4.28,5.21
9,cocabo,schwefel,9.0,5.18,4.78,5.59
16,cocabo,schwefel,16.0,5.67,5.36975,5.94
25,cocabo,schwefel,25.0,5.33,4.93,5.69
36,cocabo,schwefel,36.0,5.06,4.64,5.45
49,cocabo,schwefel,49.0,4.69,4.29,5.090249999999999
64,cocabo,schwefel,64.0,4.86,4.48975,5.24025
81,cocabo,schwefel,81.0,4.18,3.79975,4.55
100,cocabo,schwefel,100.0,3.77,3.36,4.14
121,cocabo,schwefel,121.0,3.69,3.29975,4.07025
144,cocabo,schwefel,144.0,3.42,3.01975,3.81
169,cocabo,schwefel,169.0,3.03,2.67,3.41025
196,cocabo,schwefel,196.0,3.1,2.71,3.55
4,casmopolitan,schwefel,4.0,5.01,4.59,5.41
9,casmopolitan,schwefel,9.0,5.29,4.85,5.69
16,casmopolitan,schwefel,16.0,4.92,4.47,5.34
25,casmopolitan,schwefel,25.0,5.03,4.7197499999999994,5.36
36,casmopolitan,schwefel,36.0,4.67,4.3,5.05
49,casmopolitan,schwefel,49.0,4.62,4.22,4.98025
64,casmopolitan,schwefel,64.0,4.53,4.18,4.8702499999999995
81,casmopolitan,schwefel,81.0,4.05,3.66975,4.42
100,casmopolitan,schwefel,100.0,4.11,3.7,4.51
121,casmopolitan,schwefel,121.0,3.6,3.23,3.98
144,casmopolitan,schwefel,144.0,3.72,3.36,4.08
169,casmopolitan,schwefel,169.0,3.46,3.10975,3.84
196,casmopolitan,schwefel,196.0,3.25,2.93,3.6302499999999998
4,bodi,schwefel,4.0,4.19,3.7197500000000003,4.65025
9,bodi,schwefel,9.0,4.79,4.42,5.140249999999999
16,bodi,schwefel,16.0,5.37,5.05,5.70025
25,bodi,schwefel,25.0,5.19,4.85,5.51
36,bodi,schwefel,36.0,5.69,5.39,6.0
49,bodi,schwefel,49.0,5.34,4.97,5.66
64,bodi,schwefel,64.0,5.28,4.91,5.65025
81,bodi,schwefel,81.0,5.07,4.68,5.43
100,bodi,schwefel,100.0,5.08,4.73,5.430249999999999
121,bodi,schwefel,121.0,4.72,4.37975,5.03
144,bodi,schwefel,144.0,4.22,3.85975,4.6
169,bodi,schwefel,169.0,4.41,4.06,4.75
196,bodi,schwefel,196.0,4.21,3.85,4.58
4,dummy_baseline,schwefel,4.0,3.23,2.97,3.5
9,dummy_baseline,schwefel,9.0,3.0,2.72,3.27
16,dummy_baseline,schwefel,16.0,3.38,3.09,3.67
25,dummy_baseline,schwefel,25.0,4.02,3.7197500000000003,4.34
36,dummy_baseline,schwefel,36.0,4.53,4.24,4.8
49,dummy_baseline,schwefel,49.0,5.11,4.81,5.39
64,dummy_baseline,schwefel,64.0,5.51,5.27975,5.76
81,dummy_baseline,schwefel,81.0,5.91,5.63,6.17
100,dummy_baseline,schwefel,100.0,6.16,5.94,6.37
